Équipe,Rang,Points,BRA,SPA,SAN,MON,BEL,CAN,DET,FRA,GRE,GER,HUN,AUS,ITA,POR,MEX
Williams,1,93,2,3,4,4,4,9,1,9,9,9,9,3,9,9,9
McLaren,2,66,,9,9,9,1,6,3,6,4,6,,4,2,2,1
Ligier,3,45,9,,,6,2,4,4,4,3,2,1,6,,1,3
Lotus,4,40,4,4,,2,3,2,9,,2,3,6,1,,4,0
Ferrari,5,40,,,2,1,9,1,2,2,,0,3,2,3,6,0
Tyrrell,6,33,6,,0,0,0,3,0,1,6,,4,9,4,,0
Arrows,7,29,,2,6,3,0,,,0,,,,3,6,3,6
Benetton,8,23,3,6,3,,6,,,,,0,,0,1,0,2
Brabham,9,13,1,,1,,0,,6,3,1,1,,,,,0
Lola,10,13,,1,,,0,0,,,,4,2,6,0,,
Minardi,11,4,,,,,,,,,,,,,,,4
Zakspeed,12,1,,,,0,,0,0,,0,,0,0,,0,0
Osella,13,0,,,,,,,,,,0,,0,0,0,0
