Pilote,Rang,Points,AUSR,BAHR,BELR,BRAR,CANR,CHIR,EURR,FRAR,GRER,HUNR,ITAR,JAPR,MALR,MONR,SPAR,TURR,UNIR
Lewis Hamilton,1,300,12,18,12,18,25,25,1,18,25,18,18,25,12,18,12,18,25
Fernando Alonso,2,279,18,12,15,12,18,12,18,,15,25,25,18,18,25,18,12,18
Felipe Massa,3,277,,25,18,25,10,15,15,25,12,,15,12,25,15,25,25,15
Kimi Räikkönen,4,262,25,15,25,15,12,18,25,15,18,12,10,15,15,,15,15,12
Nick Heidfeld,5,155,15,10,6,8,15,4,12,6,2,15,12,10,10,6,6,8,10
Robert Kubica,6,117,10,8,10,6,4,2,10,12,10,6,8,1,6,4,10,10,
Mark Webber,7,62,6,4,4,10,8,6,8,,,1,,4,1,8,,,2
Nico Rosberg,8,62,,1,8,1,6,,,2,,10,4,8,8,10,,4,
Giancarlo Fisichella,9,49,8,6,,,2,,,10,4,4,,,,12,1,1,1
Heikki Kovalainen,10,45,,,1,,,,6,8,6,,6,,,,4,6,8
Jarno Trulli,11,44,4,2,2,4,1,,4,4,1,2,2,,4,,8,2,4
Ralf Schumacher,12,30,2,,,,,8,2,,8,8,,,2,,,,
David Coulthard,13,14,,,,2,,10,,,,,,,,,2,,
Jenson Button,14,9,,,,,,1,,,,,1,6,,1,,,
Sebastian Vettel,15,8,,,,,,,,,,,,2,,,,,6
Rubens Barrichello,16,2,,,,,,,,,,,,,,2,,,
Takuma Sato,17,1,1,,,,,,,,,,,,,,,,
