année,champion pilote,champion constructeur,champion qualif,champion constructeur 2eme pilote
1950,Nino Farina,,Juan Manuel Fangio,Alfa Romeo
1951,Juan Manuel Fangio,,Juan Manuel Fangio,Ferrari
1952,Alberto Ascari,,Alberto Ascari,Ferrari
1953,Alberto Ascari,,Alberto Ascari,Ferrari
1954,Juan Manuel Fangio,,Juan Manuel Fangio,Ferrari
1955,Juan Manuel Fangio,,Juan Manuel Fangio,Mercedes
1956,Juan Manuel Fangio,,Juan Manuel Fangio,Ferrari
1957,Juan Manuel Fangio,,Juan Manuel Fangio,Maserati
1958,Mike Hawthorn,Vanwall,Mike Hawthorn,Ferrari
1959,Jack Brabham,Cooper,Stirling Moss,Cooper
1960,Jack Brabham,Cooper,Jack Brabham,Cooper
1961,Phil Hill,Ferrari,Phil Hill,Ferrari
1962,Graham Hill,BRM,Jim Clark,Cooper
1963,Jim Clark,Lotus,Jim Clark,Lotus
1964,John Surtees,Ferrari,Jim Clark,BRM
1965,Jim Clark,Lotus,Jim Clark,BRM
1966,Jack Brabham,Brabham,John Surtees,Cooper
1967,Denny Hulme,Brabham,Jim Clark,Brabham
1968,Graham Hill,Lotus,Chris Amon,Lotus
1969,Jackie Stewart,Matra,Jochen Rindt,Brabham
1970,Jochen Rindt,Lotus,Jacky Ickx,March
1971,Jackie Stewart,Tyrrell,Jackie Stewart,Tyrrell
1972,Emerson Fittipaldi,Lotus,Emerson Fittipaldi,McLaren
1973,Jackie Stewart,Lotus,Ronnie Peterson,Tyrrell
1974,Emerson Fittipaldi,McLaren,Niki Lauda,McLaren
1975,Niki Lauda,Ferrari,Niki Lauda,Ferrari
1976,James Hunt,Ferrari,James Hunt,Tyrrell
1977,Niki Lauda,Ferrari,James Hunt,Ferrari
1978,Mario Andretti,Lotus,Mario Andretti,Lotus
1979,Jody Scheckter,Ferrari,Jacques Laffite,Ferrari
1980,Alan Jones,Williams,Alan Jones,Williams
1981,Nelson Piquet,Williams,Carlos Reutemann,Williams
1982,Keke Rosberg,Ferrari,Alain Prost,Williams
1983,Nelson Piquet,Ferrari,Patrick Tambay,Ferrari
1984,Niki Lauda,McLaren,Nelson Piquet,McLaren
1985,Alain Prost,McLaren,Ayrton Senna,Ferrari
1986,Alain Prost,Williams,Ayrton Senna,Williams
1987,Nelson Piquet,Williams,Nigel Mansell,Williams
1988,Ayrton Senna,McLaren,Ayrton Senna,McLaren
1989,Alain Prost,McLaren,Ayrton Senna,McLaren
1990,Ayrton Senna,McLaren,Ayrton Senna,McLaren
1991,Ayrton Senna,McLaren,Ayrton Senna,McLaren
1992,Nigel Mansell,Williams,Nigel Mansell,Williams
1993,Alain Prost,Williams,Alain Prost,Williams
1994,Michael Schumacher,Williams,Michael Schumacher,Williams
1995,Michael Schumacher,Benetton,Damon Hill,Benetton
1996,Damon Hill,Williams,Damon Hill,Williams
1997,Jacques Villeneuve,Williams,Jacques Villeneuve,Benetton
1998,Mika Häkkinen,McLaren,Mika Häkkinen,McLaren
1999,Mika Häkkinen,Ferrari,Mika Häkkinen,Ferrari
2000,Michael Schumacher,Ferrari,Michael Schumacher,McLaren
2001,Michael Schumacher,Ferrari,Michael Schumacher,Ferrari
2002,Michael Schumacher,Ferrari,Michael Schumacher,Ferrari
2003,Michael Schumacher,Ferrari,Rubens Barrichello,Ferrari
2004,Michael Schumacher,Ferrari,Michael Schumacher,Ferrari
2005,Fernando Alonso,Renault,Fernando Alonso,Renault
2006,Fernando Alonso,Renault,Fernando Alonso,Renault
2007,Kimi Räikkönen,Ferrari,Lewis Hamilton,McLaren
2008,Lewis Hamilton,Ferrari,Lewis Hamilton,McLaren
2009,Jenson Button,Brawn,Sebastian Vettel,Brawn
2010,Sebastian Vettel,Red Bull,Sebastian Vettel,Red Bull
2011,Sebastian Vettel,Red Bull,Sebastian Vettel,Red Bull
2012,Sebastian Vettel,Red Bull,Lewis Hamilton,Red Bull
2013,Sebastian Vettel,Red Bull,Sebastian Vettel,Red Bull
2014,Lewis Hamilton,Mercedes,Nico Rosberg,Mercedes
2015,Lewis Hamilton,Mercedes,Lewis Hamilton,Mercedes
2016,Nico Rosberg,Mercedes,Nico Rosberg,Mercedes
2017,Lewis Hamilton,Mercedes,Lewis Hamilton,Mercedes
2018,Lewis Hamilton,Mercedes,Lewis Hamilton,Mercedes
2019,Lewis Hamilton,Mercedes,Lewis Hamilton,Mercedes
2020,Lewis Hamilton,Mercedes,Lewis Hamilton,Mercedes
2021,Max Verstappen,Mercedes,Max Verstappen,Mercedes
2022,Max Verstappen,Red Bull,Max Verstappen,Red Bull
2023,Max Verstappen,Red Bull,Max Verstappen,Red Bull
2024,Max Verstappen,McLaren,Max Verstappen,McLaren
2025,Lando Norris,McLaren,Oscar Piastri,McLaren
2026,George Russell,Mercedes,George Russell,Mercedes
